subject,session,UTC_Timestamp,BR_mean,BR_stdev,BR_1std_BB_RR,B_level,B_fluctuation,BF_elapsed_time,RtoR_mean,RtoR_stdev,RtoR_1std
26,DRIVING1,2014-3-3T11:33:49.000-05:00,29151.4,32531.2,3643.67,Medium,Breathing_in,1,0.107333,0.249964,0.499556
26,DRIVING1,2014-3-3T11:33:50.000-05:00,21864.2,30868.4,-7287.22,Medium,Breathing_out,1,0.00711111,0.280519,-0.100222
26,DRIVING1,2014-3-3T11:33:51.000-05:00,29135.8,32545,7271.61,Medium,Breathing_in,1,-0.0946667,0.379387,-0.101778
26,DRIVING1,2014-3-3T11:33:52.000-05:00,50096,27760,20960.2,High,Breathing_in,2,0.0828235,0.24557,0.17749
26,DRIVING1,2014-3-3T11:33:53.000-05:00,65500.8,6.31796,15404.8,High,Breathing_in,3,-0.0428889,0.527083,-0.125712
26,DRIVING1,2014-3-3T11:33:54.000-05:00,36410.1,32557.1,-29090.8,Medium,Breathing_out,1,-0.00577778,0.280679,0.0371111
26,DRIVING1,2014-3-3T11:33:55.000-05:00,65524.1,4.08097,29114.1,High,Breathing_in,1,0.101333,0.293945,0.107111
26,DRIVING1,2014-3-3T11:33:56.000-05:00,65527.9,2.34455,3.83333,High,Breath_holding,1,0.00866667,0.340071,-0.0926667
26,DRIVING1,2014-3-3T11:33:57.000-05:00,40048.7,31945,-25479.3,Medium,Breathing_out,1,-0.0346667,0.260959,-0.0433333
26,DRIVING1,2014-3-3T11:33:58.000-05:00,7285.72,20593.9,-32762.9,Low,Breathing_out,2,-0.106222,0.317662,-0.0715556
26,DRIVING1,2014-3-3T11:33:59.000-05:00,47.7647,24.4409,-7237.96,Low,Breathing_out,3,-0.0962353,0.219306,0.00998693
26,DRIVING1,2014-3-3T11:34:00.000-05:00,50956.8,27225,50909.1,High,Breathing_in,1,-0.389333,0.515186,-0.293098
26,DRIVING1,2014-3-3T11:34:01.000-05:00,65513.7,5.49747,14556.8,High,Breathing_in,2,0.184667,0.508333,0.574
26,DRIVING1,2014-3-3T11:34:02.000-05:00,47337.7,29328.1,-18175.9,Medium,Breathing_out,1,-0.0144444,0.43609,-0.199111
26,DRIVING1,2014-3-3T11:34:03.000-05:00,39.7778,33.796,-47297.9,Low,Breathing_out,2,-0.349333,0.484604,-0.334889
26,DRIVING1,2014-3-3T11:34:04.000-05:00,47326.3,29342.8,47286.5,Medium,Breathing_in,1,-0.0342222,0.648294,0.315111
26,DRIVING1,2014-3-3T11:34:05.000-05:00,58233.2,20587.5,10906.9,High,Breathing_in,2,0.228222,0.360978,0.262444
