subject,session,UTC_Timestamp,ECG_mean,ECG_stdev,ECG_1std
5,DRIVING1,2013-11-1T11:37:25.000-05:00,2054.68,132.029,-0.4
5,DRIVING1,2013-11-1T11:37:26.000-05:00,2056.02,98.9835,1.344
5,DRIVING1,2013-11-1T11:37:27.000-05:00,2054.41,141.641,-1.616
5,DRIVING1,2013-11-1T11:37:28.000-05:00,2055.46,94.7146,1.056
5,DRIVING1,2013-11-1T11:37:29.000-05:00,2054.57,148.062,-0.896
5,DRIVING1,2013-11-1T11:37:30.000-05:00,2055.21,105.174,0.64
5,DRIVING1,2013-11-1T11:37:31.000-05:00,2054.26,132.031,-0.944
5,DRIVING1,2013-11-1T11:37:32.000-05:00,2056.01,102.806,1.744
5,DRIVING1,2013-11-1T11:37:33.000-05:00,2056.31,144.937,0.304
5,DRIVING1,2013-11-1T11:37:34.000-05:00,2054.6,102.878,-1.712
5,DRIVING1,2013-11-1T11:37:35.000-05:00,2053.93,106.689,-0.672
5,DRIVING1,2013-11-1T11:37:36.000-05:00,2054.9,143.922,0.976
5,DRIVING1,2013-11-1T11:37:37.000-05:00,2054.7,98.944,-0.208
5,DRIVING1,2013-11-1T11:37:38.000-05:00,2058.71,134.799,4.016
5,DRIVING1,2013-11-1T11:37:39.000-05:00,2052.92,103.212,-5.792
5,DRIVING1,2013-11-1T11:37:40.000-05:00,2054.52,132.729,1.6
5,DRIVING1,2013-11-1T11:37:41.000-05:00,2054.12,99.7144,-0.4
5,DRIVING1,2013-11-1T11:37:42.000-05:00,2057.83,138.907,3.712
5,DRIVING1,2013-11-1T11:37:43.000-05:00,2052.39,103.546,-5.44
5,DRIVING1,2013-11-1T11:37:44.000-05:00,2057.22,131.136,4.832
5,DRIVING1,2013-11-1T11:37:45.000-05:00,2052.49,91.8414,-4.736
5,DRIVING1,2013-11-1T11:37:46.000-05:00,2056.42,138.951,3.936
5,DRIVING1,2013-11-1T11:37:47.000-05:00,2053.27,103.457,-3.152
5,DRIVING1,2013-11-1T11:37:48.000-05:00,2056.39,140.127,3.12
5,DRIVING1,2013-11-1T11:37:49.000-05:00,2055.77,103.904,-0.624
5,DRIVING1,2013-11-1T11:37:50.000-05:00,2048.79,103.8,-6.976
5,DRIVING1,2013-11-1T11:37:51.000-05:00,2061.29,128.719,12.496
5,DRIVING1,2013-11-1T11:37:52.000-05:00,2053.96,101.325,-7.328
5,DRIVING1,2013-11-1T11:37:53.000-05:00,2053.62,138.171,-0.336
5,DRIVING1,2013-11-1T11:37:54.000-05:00,2056.1,96.076,2.48
5,DRIVING1,2013-11-1T11:37:55.000-05:00,2054.52,141.901,-1.584
5,DRIVING1,2013-11-1T11:37:56.000-05:00,2055.34,99.1959,0.816
5,DRIVING1,2013-11-1T11:37:57.000-05:00,2054.5,133.261,-0.832
5,DRIVING1,2013-11-1T11:37:58.000-05:00,2052.81,103.762,-1.696
5,DRIVING1,2013-11-1T11:37:59.000-05:00,2058.41,141.943,5.6
5,DRIVING1,2013-11-1T11:38:00.000-05:00,2054.49,140.918,-3.92
5,DRIVING1,2013-11-1T11:38:01.000-05:00,2055.19,93.2511,0.704
5,DRIVING1,2013-11-1T11:38:02.000-05:00,2055.78,138.53,0.592
5,DRIVING1,2013-11-1T11:38:03.000-05:00,2054.41,100.903,-1.376
5,DRIVING1,2013-11-1T11:38:04.000-05:00,2055.34,134.862,0.928
5,DRIVING1,2013-11-1T11:38:05.000-05:00,2055.1,103.505,-0.24
5,DRIVING1,2013-11-1T11:38:06.000-05:00,2056.2,137.315,1.104
5,DRIVING1,2013-11-1T11:38:07.000-05:00,2053.88,97.8993,-2.32
5,DRIVING1,2013-11-1T11:38:08.000-05:00,2060.36,151.767,6.48
5,DRIVING1,2013-11-1T11:38:09.000-05:00,2048.95,101.91,-11.408
5,DRIVING1,2013-11-1T11:38:10.000-05:00,2057.91,133.974,8.96
5,DRIVING1,2013-11-1T11:38:11.000-05:00,2052.39,100.545,-5.52
5,DRIVING1,2013-11-1T11:38:12.000-05:00,2055.05,134.064,2.656
5,DRIVING1,2013-11-1T11:38:13.000-05:00,2055.51,94.8275,0.464
5,DRIVING1,2013-11-1T11:38:14.000-05:00,2054.89,139.47,-0.624
5,DRIVING1,2013-11-1T11:38:15.000-05:00,2055.27,97.6635,0.384
5,DRIVING1,2013-11-1T11:38:16.000-05:00,2054.14,132.711,-1.136
5,DRIVING1,2013-11-1T11:38:17.000-05:00,2055.91,101.166,1.776
5,DRIVING1,2013-11-1T11:38:18.000-05:00,2056.92,132.696,1.008
5,DRIVING1,2013-11-1T11:38:19.000-05:00,2053.32,93.6495,-3.6
5,DRIVING1,2013-11-1T11:38:20.000-05:00,2048.23,110.724,-5.088
5,DRIVING1,2013-11-1T11:38:21.000-05:00,2062.98,122.138,14.752
5,DRIVING1,2013-11-1T11:38:22.000-05:00,2048.34,109.135,-14.64
5,DRIVING1,2013-11-1T11:38:23.000-05:00,2061.02,121.569,12.672
5,DRIVING1,2013-11-1T11:38:24.000-05:00,2057.94,129.814,-3.072
5,DRIVING1,2013-11-1T11:38:25.000-05:00,2052.15,95.3301,-5.792
5,DRIVING1,2013-11-1T11:38:26.000-05:00,2055.5,137.602,3.344
5,DRIVING1,2013-11-1T11:38:27.000-05:00,2054.89,96.8465,-0.608
5,DRIVING1,2013-11-1T11:38:28.000-05:00,2054.49,132.504,-0.4
5,DRIVING1,2013-11-1T11:38:29.000-05:00,2055.82,91.1883,1.328
5,DRIVING1,2013-11-1T11:38:30.000-05:00,2054.1,139.399,-1.712
5,DRIVING1,2013-11-1T11:38:31.000-05:00,2055.29,97.7195,1.184
